#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy	anticipation	trust
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation	fear	
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy	trust	anticipation
game of thrones my favourite 2014 movies. this film is awesome	joy		
the movie frozen is the cutest movie ever....i wish i had a girl hass don't mess with movies like this	joy		
gladiator has way too many incredible lines for one movie. it's not fair to other movies, really.	joy		
the movie suffered as all middle aged murder man movies do from every woman on screen crying, being threatened/killed or all of the above	disgust		
goin ham and watching 3 movies in a row at the movie theatre :) �	anticipation		
the movies for film fest this year  casablanca the goonies jaws jurassic park star wars: a new hope wizard of oz  where's lord of the rings?	anticipation		
the new transformers movie is dope as hell tho. most action out of all 4 movies	joy		
going to the movies alone is kind of awkward tbh but crying multiple times during the movie you're seeing alone is even more awkward lol	sadness		
the rover is a great movie. i like those kinds of movies where they emphasize on how characters are built in deeper perspectives.	joy		
going to the movies later to watch the one paul walker movie he was last in. :)	joy		
the rover was such an intense film. very dark but great movie all together. it's box office is criminal though. go see this movie!	surprise		
going to the movies tomorrow cause it be too pack everytlme a new movie come out	anticipation		
the teaser is awesome . i hope the movies does too . i expect a lot for the movie to be great .  #kaththicelebrationsstarts ♡ ��	anticipation		
gone girl (the movie) is so good. easily one of the best book-to-film adaptations and ben affleck isn't even that annoying in it.	surprise		
the time she had a latin partner in a film, it was a disaster on film. yeah, that hector lavoe movie.	disgust		
gone girl is definitely in my top 5 movies now. so fantastic. what a brilliant movie.	joy		
the trailer for #taken3 looks amazing, got to love a action movie. i am already planning my date night around that film	joy		
there are few movies that i really enjoy watching more than once, but the day after tomorrow is an incredible film	joy		
gonna see that movie. i love movies with rebel girls who are a mess.. gives me something to relate to.	anticipation		
these movies i have to watch for my film class are so wack omg�	sadness		
got cast in movie trumbo. film later this month in new orleans. #shouldbefun	anticipation		
gotta watch a movie every wednesday for my film analysis class	anticipation		
halloween is my 2nd favorite movie i like all the haunted houses an scary movies ����	joy		
hannah montana movie is deffo one of the best movies ever bcos miley	joy		
hayden working at the movie theater means we get to see free movies all the time �	joy		
hi, how the situation in la, you'll want to star in the film than anything else? i can not wait to see the movie play again @andrewastor	anticipation		
holy shit if movie directors made a movie like my dream then scary movies would actually be scary.. #scariestdream #homealone #imscarednow �	fear		
honestly, i like nadz movie than kath movies did u get it? suriii it's my own opinion	anticipation		
how can you be at the movies with a girl and not pay for her movie ticket or popcorn. smh at this dude in the ticket line in front of me	disgust		
how did this turn into an exorcism movie. we all know how i feel about exorcism movies.	surprise		
how in the ruddy hell did i miss the episode of meet the movie press with my favorite film critic / reporter @jimmytotheo?!?!?!?	surprise		
i actual don't know how people film scenes in movies just openly sitting naked like bro, how are u not uncomfortable	fear		
i always say i want to go see movies from the movie trailers before a movie starts but never actually do. #well lol	anticipation		
i am going to columbus sunday only to see @thatkevinsmith movie tusk. so excited for this weird fucking film.	anticipation		
i am really digging the fact that more indie/alternative music is making its way into mainstream movies. it makes the movie more interesting	joy		
i bet watching scary movies burns as many as 200 calories. haha movie marathon. @moooiz @nameberry �	fear		
i can't handle it when a husband hits his wife in movies.. literally breaks my heart even though it's just a movie	sadness		
i can't handle the movies we watch in film. like what the actual fuck... #miseenscène	disgust		
i can't watch scary movies, so we're celebrating halloween by watching scary movie 3	fear		
i don't get how people can just sit and hangout at the movies but not actually watch a movie	surprise		
i don't like going to the movies on a saturday when a movie like this come out ��. be to many people so i'm going tonight	fear		
i don't like to watch movies more than once. so when i do, it must be a darn good movie.	joy		
i don't understand how people's favorite disney movie is anything but 101 dalmatians. the cartoon film.	surprise		
i don't watch movies “@jactionj: 3 whats the best movie you saw this year?”	surprise		
i forgot how much of a chicken i am when it comes to scary movies....that movie reminded me real quick!!!	fear		
i forgot i had movie theater speakers lol sound like the movies in my room �	surprise		
i forgot i movie theater speakers lol sound like the movies in my room �	joy		
i get super scared with just previews of scary movies so imagine the actual movie....	fear		
i had so many movies i could have chose for today's love of horrors challenge tho! like it was a chore trying to narrow it down to one film!	anticipation		
i hate bollywood movies because they can't come up with anything original...like the movie ek villian copied i saw the devil ... smh	anger		
i hate going to these black movies there is always some ratchets with mad adlibs ruining the movie	disgust		
i hate romance movies, but the vow was honestly a really good movie.	surprise		
i hate those movies where everything happens super fast. the movie just started and people are already dying. y?	anger		
i hate watching movies on disney they cut little things that make the movie adorable for commercials #fuckcommercials	disgust		
i have a movie problem. i rented three movies an i'm planning on eating popcorn for dinner. #sorrynotsorry	anticipation		
